query;seed_ortholog;evalue;score;eggNOG_OGs;max_annot_lvl;COG_category;Description;Preferred_name;GOs;EC;KEGG_ko;KEGG_Pathway;KEGG_Module;KEGG_Reaction;KEGG_rclass;BRITE;KEGG_TC;CAZy;BiGG_Reaction;PFAMs
k105_918_1;1229909.NSED_09875;1.4e-174;493.0;COG2046@1|root,arCOG04191@2157|Archaea,41SER@651137|Thaumarchaeota;651137|Thaumarchaeota;P;Belongs to the sulfate adenylyltransferase family;sat;-;2.7.7.4;ko:K00958;ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130;M00176,M00596;R00529,R04929;RC02809,RC02889;ko00000,ko00001,ko00002,ko01000;-;-;-;ATP-sulfurylase,PUA_2
k105_918_2;1229909.NSED_09870;8.59e-165;461.0;COG0175@1|root,arCOG00124@2157|Archaea,41S9Q@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Phosphoadenosine phosphosulfate reductase family;-;-;1.8.4.10,1.8.4.8;ko:K00390;ko00920,ko01100,ko01120,map00920,map01100,map01120;M00176;R02021;RC00007,RC02862;ko00000,ko00001,ko00002,ko01000;-;-;-;PAPS_reduct
k105_918_3;436308.Nmar_0048;1.83e-59;194.0;COG0301@1|root,arCOG00038@2157|Archaea,41ST5@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_2;436308.Nmar_1776;4.46e-183;513.0;COG1234@1|root,arCOG00501@2157|Archaea,41SF7@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA;rnz;-;3.1.26.11;ko:K00784;ko03013,map03013;-;-;-;ko00000,ko00001,ko01000,ko03016;-;-;-;Lactamase_B,Lactamase_B_2
k105_83059_3;1229909.NSED_09510;1.88e-169;479.0;COG1041@1|root,arCOG00047@2157|Archaea;2157|Archaea;L;RNA methylase;trmG10;GO:0000049,GO:0001510,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004809,GO:0005488,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:0140101,GO:1901360,GO:1901363;2.1.1.213;ko:K07446;-;-;-;-;ko00000,ko01000,ko03016;-;-;-;THUMP,UPF0020
k105_83059_4;1229909.NSED_09505;1.23e-158;450.0;COG0462@1|root,arCOG00067@2157|Archaea,41SH1@651137|Thaumarchaeota;651137|Thaumarchaeota;F;Ribose-phosphate pyrophosphokinase;-;-;2.7.6.1;ko:K00948;ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230;M00005;R01049;RC00002,RC00078;ko00000,ko00001,ko00002,ko01000;-;-;-;Pribosyl_synth,Pribosyltran,Pribosyltran_N
k105_83059_5;436308.Nmar_1773;1.67e-306;847.0;COG0668@1|root,arCOG01568@2157|Archaea,41SYX@651137|Thaumarchaeota;651137|Thaumarchaeota;M;Mechanosensitive ion channel;-;-;-;ko:K05802;-;-;-;-;ko00000,ko02000;1.A.23.1.1;-;-;MS_channel
k105_83059_6;1229909.NSED_09495;1.36e-304;833.0;COG1509@1|root,arCOG03246@2157|Archaea,41SY6@651137|Thaumarchaeota;651137|Thaumarchaeota;E;TIGRFAM lysine 2,3-aminomutase YodO family protein;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_7;1229909.NSED_09490;0.0;914.0;COG0174@1|root,arCOG01909@2157|Archaea,41SD6@651137|Thaumarchaeota;651137|Thaumarchaeota;E;TIGRFAM glutamine synthetase, type I;-;-;6.3.1.2;ko:K01915;ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727;-;R00253;RC00010,RC02798;ko00000,ko00001,ko01000,ko04147;-;-;-;Gln-synt_C,Gln-synt_N
k105_83059_8;436308.Nmar_1770;7.6e-83;253.0;arCOG08811@1|root,arCOG08811@2157|Archaea,41T85@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_9;436308.Nmar_1767;1.56e-232;645.0;COG0484@1|root,arCOG02846@2157|Archaea,41T1F@651137|Thaumarchaeota;651137|Thaumarchaeota;O;DnaJ molecular chaperone homology domain;-;-;-;-;-;-;-;-;-;-;-;-;DnaJ
k105_83059_10;1229909.NSED_09420;3.05e-74;221.0;COG1145@1|root,arCOG00291@2157|Archaea,41T34@651137|Thaumarchaeota;651137|Thaumarchaeota;C;4Fe-4S binding domain;-;-;-;-;-;-;-;-;-;-;-;-;Fer4
k105_83059_11;1229909.NSED_09415;7.61e-77;236.0;arCOG08028@1|root,arCOG08028@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_12;1229909.NSED_09410;6.56e-211;590.0;COG0520@1|root,arCOG00065@2157|Archaea,41SYH@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Aminotransferase class-V;-;-;2.8.1.7,4.4.1.16;ko:K11717;ko00450,ko01100,map00450,map01100;-;R03599,R11528;RC00961,RC01789,RC02313;ko00000,ko00001,ko01000;-;-;-;Aminotran_5
k105_83059_13;436308.Nmar_1762;5.19e-44;144.0;COG1522@1|root,arCOG01117@2157|Archaea,41T58@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Lrp/AsnC ligand binding domain;-;-;-;-;-;-;-;-;-;-;-;-;AsnC_trans_reg
k105_83059_14;1229909.NSED_09395;4.16e-94;276.0;COG2453@1|root,arCOG03413@2157|Archaea,41SK5@651137|Thaumarchaeota;651137|Thaumarchaeota;T;Dual specificity phosphatase, catalytic domain;-;-;3.1.3.16,3.1.3.48;ko:K14165;-;-;-;-;ko00000,ko01000,ko01009;-;-;-;DSPc
k105_83059_15;1229909.NSED_09390;6.25e-20;80.5;arCOG08748@1|root,arCOG08748@2157|Archaea,41TAF@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_16;1229909.NSED_09385;2e-28;102.0;arCOG08748@1|root,arCOG08748@2157|Archaea,41SV7@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_17;1229909.NSED_09360;1.08e-107;316.0;arCOG08749@1|root,arCOG08749@2157|Archaea,41SRV@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83059_18;1229909.NSED_09350;6.75e-67;203.0;COG1594@1|root,arCOG00579@2157|Archaea,41SS3@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Belongs to the archaeal rpoM eukaryotic RPA12 RPB9 RPC11 RNA polymerase family;-;-;-;ko:K03057;ko01100,map01100;-;-;-;br01611,ko00000,ko03021;-;-;-;TFIIS_C
k105_83059_19;1229909.NSED_09345;6.76e-164;460.0;COG0592@1|root,arCOG00488@2157|Archaea,41S6E@651137|Thaumarchaeota;651137|Thaumarchaeota;L;Sliding clamp subunit that acts as a moving platform for DNA processing. Responsible for tethering the catalytic subunit of DNA polymerase and other proteins to DNA during high-speed replication;pcn;-;-;ko:K04802;ko03030,ko03410,ko03420,ko03430,ko04110,ko04530,ko05161,ko05166,map03030,map03410,map03420,map03430,map04110,map04530,map05161,map05166;M00295;-;-;ko00000,ko00001,ko00002,ko03032,ko03400;-;-;-;PCNA_C,PCNA_N
k105_83059_20;1229909.NSED_09340;3.26e-140;409.0;COG0527@1|root,arCOG00861@2157|Archaea,41SFA@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Belongs to the aspartokinase family;-;-;2.7.2.4;ko:K00928;ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230;M00016,M00017,M00018,M00033,M00525,M00526,M00527;R00480;RC00002,RC00043;ko00000,ko00001,ko00002,ko01000;-;-;-;AA_kinase,ACT_7
k105_83062_1;1229909.NSED_09795;5.76e-152;437.0;COG2512@1|root,arCOG00374@2157|Archaea,41SUX@651137|Thaumarchaeota;651137|Thaumarchaeota;K;membrane-associated protein domain;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83062_2;436308.Nmar_0033;3.76e-51;162.0;COG3432@1|root,arCOG01055@2157|Archaea,41T3P@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Winged helix-turn-helix;-;-;-;-;-;-;-;-;-;-;-;-;HTH_45
k105_83062_3;1229909.NSED_09785;7.65e-19;85.1;arCOG10512@1|root,arCOG10512@2157|Archaea,41T3J@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83062_4;1229909.NSED_09780;2.58e-103;304.0;COG5491@1|root,arCOG00452@2157|Archaea,41SYC@651137|Thaumarchaeota;651137|Thaumarchaeota;D;conserved protein implicated in secretion;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83062_5;436308.Nmar_0027;1.37e-46;155.0;arCOG08814@1|root,arCOG08814@2157|Archaea,41T9Z@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_83130_1;436308.Nmar_0581;4.25e-92;280.0;COG0475@1|root,arCOG01953@2157|Archaea,41T00@651137|Thaumarchaeota;651137|Thaumarchaeota;P;Sodium hydrogen exchanger;-;-;-;-;-;-;-;-;-;-;-;-;Na_H_Exchanger
k105_83130_2;436308.Nmar_0582;4.19e-220;610.0;COG0150@1|root,arCOG00639@2157|Archaea,41SEE@651137|Thaumarchaeota;651137|Thaumarchaeota;F;Phosphoribosylformylglycinamidine cyclo-ligase;purM;-;6.3.3.1;ko:K01933;ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130;M00048;R04208;RC01100;ko00000,ko00001,ko00002,ko01000;-;-;-;AIRS,AIRS_C
