locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGLLGMOK_00035	CDS	375				hypothetical protein
PGLLGMOK_00036	CDS	702				hypothetical protein
PGLLGMOK_00037	CDS	675	gdhA	1.4.1.3	COG0334	Glutamate dehydrogenase
PGLLGMOK_00038	CDS	807				hypothetical protein
PGLLGMOK_00039	CDS	747	pcn_1		COG0592	DNA polymerase sliding clamp
PGLLGMOK_00040	CDS	318	tfs_1			Transcription factor S
PGLLGMOK_00041	CDS	267				hypothetical protein
PGLLGMOK_00042	CDS	588				hypothetical protein
PGLLGMOK_00043	CDS	153				hypothetical protein
PGLLGMOK_00044	CDS	780				hypothetical protein
PGLLGMOK_00045	CDS	630				hypothetical protein
PGLLGMOK_00046	CDS	1014				hypothetical protein
PGLLGMOK_00047	CDS	717				hypothetical protein
PGLLGMOK_00048	CDS	843				hypothetical protein
PGLLGMOK_00049	CDS	756				hypothetical protein
PGLLGMOK_00050	CDS	759				hypothetical protein
PGLLGMOK_00051	CDS	324				hypothetical protein
PGLLGMOK_00052	CDS	258				hypothetical protein
PGLLGMOK_00053	CDS	354				hypothetical protein
PGLLGMOK_00054	CDS	933				hypothetical protein
PGLLGMOK_00055	CDS	978				hypothetical protein
PGLLGMOK_00056	CDS	174				hypothetical protein
PGLLGMOK_00057	CDS	549				hypothetical protein
PGLLGMOK_00058	CDS	123				hypothetical protein
PGLLGMOK_00059	CDS	189				hypothetical protein
PGLLGMOK_00060	CDS	132				hypothetical protein
PGLLGMOK_00061	CDS	2196	uvrA_1			UvrABC system protein A
PGLLGMOK_00062	CDS	462				hypothetical protein
PGLLGMOK_00063	CDS	300				hypothetical protein
PGLLGMOK_00064	CDS	168				hypothetical protein
PGLLGMOK_00065	CDS	426				hypothetical protein
PGLLGMOK_00066	CDS	429	ypeA	2.3.1.-		Acetyltransferase YpeA
PGLLGMOK_00067	CDS	621				hypothetical protein
PGLLGMOK_00068	CDS	270		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
PGLLGMOK_00069	CDS	1230	smc_1			Chromosome partition protein Smc
PGLLGMOK_00070	CDS	1005	mreB_1			Cell shape-determining protein MreB
PGLLGMOK_00071	CDS	321				hypothetical protein
PGLLGMOK_00072	CDS	213				hypothetical protein
PGLLGMOK_00073	CDS	2016				hypothetical protein
PGLLGMOK_00074	CDS	1914				hypothetical protein
PGLLGMOK_00075	CDS	186				hypothetical protein
PGLLGMOK_00076	CDS	447	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PGLLGMOK_00077	CDS	1827	ilvD_1	4.2.1.9		Dihydroxy-acid dehydratase
PGLLGMOK_00078	CDS	774				hypothetical protein
PGLLGMOK_00079	CDS	213				hypothetical protein
PGLLGMOK_00080	CDS	312	groS_1			10 kDa chaperonin
PGLLGMOK_00081	CDS	1404	atpB_1	7.1.2.2		ATP synthase subunit beta
PGLLGMOK_00082	CDS	408	atpC_1			ATP synthase epsilon chain
PGLLGMOK_00083	CDS	1362	hppA1_1	7.2.3.-	COG3808	K(+)-stimulated pyrophosphate-energized sodium pump
PGLLGMOK_00084	CDS	792				hypothetical protein
PGLLGMOK_00085	CDS	1200				hypothetical protein
PGLLGMOK_00086	CDS	705	rssB_1			Regulator of RpoS
PGLLGMOK_00087	CDS	1077	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PGLLGMOK_00088	CDS	1080	mfnA	4.1.1.11	COG0076	L-aspartate/L-glutamate decarboxylase
PGLLGMOK_00089	CDS	546				hypothetical protein
PGLLGMOK_00090	CDS	1461	nhaP2			K(+)/H(+) antiporter NhaP2
PGLLGMOK_00091	CDS	1272	leuC_1	4.2.1.33	COG0065	Isopropylmalate/citramalate isomerase large subunit
PGLLGMOK_00092	CDS	492	leuD_1	4.2.1.33	COG0066	Isopropylmalate/citramalate isomerase small subunit
PGLLGMOK_00093	CDS	318	psuG_1	4.2.1.70		Pseudouridine-5'-phosphate glycosidase
PGLLGMOK_00094	CDS	738				hypothetical protein
PGLLGMOK_00095	CDS	1074		6.2.1.40	COG0318	4-hydroxybutyrate--CoA ligase 2
PGLLGMOK_00096	CDS	114				hypothetical protein
PGLLGMOK_00097	CDS	1548	pccB_1	6.4.1.3		Propionyl-CoA carboxylase, carboxyltransferase subunit
PGLLGMOK_00098	CDS	312				hypothetical protein
PGLLGMOK_00099	CDS	711				hypothetical protein
PGLLGMOK_00100	CDS	1233	htpG			Chaperone protein HtpG
PGLLGMOK_00101	CDS	279				hypothetical protein
PGLLGMOK_00102	CDS	819				hypothetical protein
PGLLGMOK_00103	CDS	162				hypothetical protein
PGLLGMOK_00104	CDS	1083				hypothetical protein
PGLLGMOK_00105	CDS	1050	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PGLLGMOK_00106	CDS	513				hypothetical protein
PGLLGMOK_00107	CDS	3453	purL_1	6.3.5.3		Phosphoribosylformylglycinamidine synthase
PGLLGMOK_00108	CDS	330				hypothetical protein
PGLLGMOK_00109	CDS	537	nudC_1	3.6.1.22		NADH pyrophosphatase
PGLLGMOK_00110	CDS	432				hypothetical protein
PGLLGMOK_00111	CDS	231				hypothetical protein
PGLLGMOK_00112	CDS	660		5.4.2.11	COG0406	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
PGLLGMOK_00113	CDS	672	fno	1.5.1.40	COG2085	F420-dependent NADP reductase
PGLLGMOK_00114	CDS	234				hypothetical protein
PGLLGMOK_00115	CDS	402				hypothetical protein
PGLLGMOK_00116	CDS	1152	mfnC_1	2.6.1.108	COG0436	(5-formylfuran-3-yl)methyl phosphate transaminase
PGLLGMOK_00117	tRNA	75				tRNA-Arg(tcg)
PGLLGMOK_00118	CDS	492				hypothetical protein
PGLLGMOK_00119	CDS	399				hypothetical protein
PGLLGMOK_00120	CDS	408		4.2.1.116	COG1024	3-hydroxypropionyl-coenzyme A dehydratase
PGLLGMOK_00121	CDS	1146				hypothetical protein
PGLLGMOK_00122	CDS	663				hypothetical protein
PGLLGMOK_00123	CDS	309				hypothetical protein
PGLLGMOK_00124	CDS	390				hypothetical protein
PGLLGMOK_00125	CDS	378				hypothetical protein
PGLLGMOK_00126	CDS	1164				hypothetical protein
PGLLGMOK_00127	CDS	258				hypothetical protein
PGLLGMOK_00128	CDS	1290	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
PGLLGMOK_00129	CDS	1035	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
PGLLGMOK_00130	CDS	198				hypothetical protein
PGLLGMOK_00131	CDS	246				hypothetical protein
PGLLGMOK_00132	CDS	255				hypothetical protein
PGLLGMOK_00133	CDS	255				hypothetical protein
PGLLGMOK_00134	CDS	258				hypothetical protein
PGLLGMOK_00135	CDS	1137				hypothetical protein
PGLLGMOK_00136	CDS	543				hypothetical protein
PGLLGMOK_00137	CDS	396	ribH_1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
PGLLGMOK_00138	CDS	606				hypothetical protein
PGLLGMOK_00139	CDS	441	ribL	2.7.7.2	COG0615	FAD synthase
PGLLGMOK_00140	CDS	603	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
PGLLGMOK_00141	CDS	642				hypothetical protein
PGLLGMOK_00142	CDS	807				hypothetical protein
PGLLGMOK_00143	CDS	639				hypothetical protein
PGLLGMOK_00144	CDS	1590				hypothetical protein
PGLLGMOK_00145	CDS	348				hypothetical protein
PGLLGMOK_00146	CDS	240	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PGLLGMOK_00147	tRNA	75				tRNA-Thr(tgt)
PGLLGMOK_00148	CDS	123				hypothetical protein
PGLLGMOK_00149	CDS	753				hypothetical protein
PGLLGMOK_00150	CDS	225				hypothetical protein
PGLLGMOK_00151	CDS	1662				hypothetical protein
PGLLGMOK_00152	CDS	831				hypothetical protein
PGLLGMOK_00153	CDS	1473		1.2.1.89	COG1012	D-glyceraldehyde dehydrogenase (NADP(+))
PGLLGMOK_00154	CDS	1344	mdtK_1			Multidrug resistance protein MdtK
PGLLGMOK_00155	CDS	1965	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PGLLGMOK_00156	CDS	621				hypothetical protein
PGLLGMOK_00157	CDS	1119	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
PGLLGMOK_00158	CDS	288				hypothetical protein
PGLLGMOK_00159	CDS	1374				hypothetical protein
PGLLGMOK_00160	CDS	1116	mfnC_2	2.6.1.108	COG0436	(5-formylfuran-3-yl)methyl phosphate transaminase
PGLLGMOK_00161	CDS	123				hypothetical protein
PGLLGMOK_00162	CDS	1923	gyrB_1	5.6.2.2		DNA gyrase subunit B
PGLLGMOK_00163	CDS	291				hypothetical protein
PGLLGMOK_00164	CDS	1116				hypothetical protein
PGLLGMOK_00165	CDS	1305	dnaA_1			Chromosomal replication initiator protein DnaA
PGLLGMOK_00166	CDS	135				hypothetical protein
PGLLGMOK_00167	CDS	324	rnpA_1	3.1.26.5		Ribonuclease P protein component
PGLLGMOK_00168	CDS	309			COG0051	30S ribosomal protein S10
PGLLGMOK_00169	CDS	723				hypothetical protein
PGLLGMOK_00170	CDS	618				hypothetical protein
PGLLGMOK_00171	CDS	297				hypothetical protein
PGLLGMOK_00172	CDS	111	ndhJ_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
PGLLGMOK_00173	CDS	1137	fpoD_2	1.12.98.3	COG0649	F(420)H(2) dehydrogenase subunit D
PGLLGMOK_00174	CDS	1299	ndhA_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
PGLLGMOK_00175	CDS	453				hypothetical protein
PGLLGMOK_00176	CDS	306	fliE			Flagellar hook-basal body complex protein FliE
PGLLGMOK_00177	CDS	864				hypothetical protein
PGLLGMOK_00178	CDS	264				Chromosomal protein MC1b
PGLLGMOK_00179	CDS	873				hypothetical protein
PGLLGMOK_00180	CDS	771				hypothetical protein
PGLLGMOK_00181	CDS	1119	nuoCD_1	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
PGLLGMOK_00182	CDS	342	fpoC	1.12.98.3	COG0852	F(420)H(2) dehydrogenase subunit C
PGLLGMOK_00183	CDS	441				hypothetical protein
PGLLGMOK_00184	CDS	951	ftsZ_1			Cell division protein FtsZ
PGLLGMOK_00185	CDS	813				hypothetical protein
PGLLGMOK_00186	CDS	750	pcn_2		COG0592	DNA polymerase sliding clamp
PGLLGMOK_00187	CDS	708				hypothetical protein
PGLLGMOK_00188	CDS	936				hypothetical protein
PGLLGMOK_00189	CDS	309				hypothetical protein
PGLLGMOK_00190	CDS	1386				hypothetical protein
PGLLGMOK_00191	CDS	219				hypothetical protein
PGLLGMOK_00192	CDS	1230				hypothetical protein
PGLLGMOK_00193	CDS	903	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PGLLGMOK_00194	CDS	429				hypothetical protein
PGLLGMOK_00195	tRNA	76				tRNA-Ala(tgc)
PGLLGMOK_00196	rRNA	1752				23S ribosomal RNA (partial)
PGLLGMOK_00197	CDS	339				hypothetical protein
PGLLGMOK_00198	CDS	180				hypothetical protein
PGLLGMOK_00199	CDS	993				hypothetical protein
PGLLGMOK_00200	CDS	270				hypothetical protein
PGLLGMOK_00201	CDS	132				hypothetical protein
PGLLGMOK_00202	CDS	612				hypothetical protein
PGLLGMOK_00203	CDS	741				hypothetical protein
PGLLGMOK_00204	CDS	1131	mnmC_1	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
PGLLGMOK_00205	CDS	378				hypothetical protein
PGLLGMOK_00206	CDS	552				hypothetical protein
PGLLGMOK_00207	CDS	438				hypothetical protein
PGLLGMOK_00208	CDS	219				hypothetical protein
PGLLGMOK_00209	CDS	429				hypothetical protein
PGLLGMOK_00210	CDS	1269				hypothetical protein
PGLLGMOK_00211	CDS	1020	smc_2			Chromosome partition protein Smc
PGLLGMOK_00212	CDS	339				hypothetical protein
PGLLGMOK_00213	CDS	273			COG0185	30S ribosomal protein S19
PGLLGMOK_00214	CDS	828				hypothetical protein
PGLLGMOK_00215	CDS	297				hypothetical protein
PGLLGMOK_00216	CDS	246				hypothetical protein
PGLLGMOK_00217	CDS	186				hypothetical protein
PGLLGMOK_00218	CDS	588				hypothetical protein
PGLLGMOK_00219	CDS	1350				hypothetical protein
PGLLGMOK_00220	CDS	618	mnmG_1			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PGLLGMOK_00221	CDS	1380				hypothetical protein
PGLLGMOK_00222	CDS	456				hypothetical protein
PGLLGMOK_00223	CDS	420				hypothetical protein
PGLLGMOK_00224	CDS	258				hypothetical protein
PGLLGMOK_00225	CDS	336			COG0186	30S ribosomal protein S17
PGLLGMOK_00226	CDS	399			COG0093	50S ribosomal protein L14
PGLLGMOK_00227	CDS	408			COG0198	50S ribosomal protein L24
PGLLGMOK_00228	CDS	615				hypothetical protein
PGLLGMOK_00229	CDS	243				hypothetical protein
PGLLGMOK_00230	CDS	465				hypothetical protein
PGLLGMOK_00231	CDS	288				hypothetical protein
PGLLGMOK_00232	CDS	360				hypothetical protein
PGLLGMOK_00233	CDS	324				hypothetical protein
PGLLGMOK_00234	CDS	207				hypothetical protein
PGLLGMOK_00235	CDS	378				hypothetical protein
PGLLGMOK_00236	CDS	1110				hypothetical protein
PGLLGMOK_00237	CDS	291				hypothetical protein
PGLLGMOK_00238	CDS	699				hypothetical protein
PGLLGMOK_00239	CDS	381				hypothetical protein
PGLLGMOK_00240	CDS	339		1.2.1.22	COG1012	Lactaldehyde dehydrogenase
PGLLGMOK_00241	CDS	189				hypothetical protein
PGLLGMOK_00242	CDS	210				hypothetical protein
PGLLGMOK_00243	CDS	1311				hypothetical protein
PGLLGMOK_00244	CDS	1623				hypothetical protein
PGLLGMOK_00245	CDS	915				hypothetical protein
PGLLGMOK_00246	CDS	1707	tfrA_1	1.3.4.1	COG1053	Fumarate reductase (CoM/CoB) subunit A
PGLLGMOK_00247	CDS	1104				hypothetical protein
PGLLGMOK_00248	CDS	432				hypothetical protein
PGLLGMOK_00249	CDS	129				hypothetical protein
PGLLGMOK_00250	CDS	390				hypothetical protein
PGLLGMOK_00251	CDS	243				hypothetical protein
PGLLGMOK_00252	CDS	765				hypothetical protein
PGLLGMOK_00253	CDS	1317	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
PGLLGMOK_00254	CDS	822				hypothetical protein
PGLLGMOK_00255	CDS	681				hypothetical protein
PGLLGMOK_00256	CDS	162				hypothetical protein
PGLLGMOK_00257	CDS	255				hypothetical protein
PGLLGMOK_00258	CDS	366				hypothetical protein
PGLLGMOK_00259	CDS	489				hypothetical protein
PGLLGMOK_00260	CDS	663	PROSC_1			Pyridoxal phosphate homeostasis protein
PGLLGMOK_00261	CDS	1086	gyrA_1	5.6.2.2		DNA gyrase subunit A
PGLLGMOK_00262	CDS	417				hypothetical protein
PGLLGMOK_00263	CDS	891		1.1.1.169	COG1893	2-dehydropantoate 2-reductase
PGLLGMOK_00264	CDS	258				hypothetical protein
PGLLGMOK_00265	CDS	1179				hypothetical protein
PGLLGMOK_00266	CDS	114				hypothetical protein
PGLLGMOK_00267	CDS	2181				hypothetical protein
PGLLGMOK_00268	CDS	297		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
PGLLGMOK_00269	CDS	393				hypothetical protein
PGLLGMOK_00270	CDS	225				hypothetical protein
PGLLGMOK_00271	CDS	1260				hypothetical protein
PGLLGMOK_00272	CDS	1218	fpoN_1	1.12.98.3	COG1007	F(420)H(2) dehydrogenase subunit N
PGLLGMOK_00273	CDS	1569	fpoM_1	1.12.98.3	COG1008	F(420)H(2) dehydrogenase subunit M
PGLLGMOK_00274	CDS	429				hypothetical protein
PGLLGMOK_00275	CDS	330				hypothetical protein
PGLLGMOK_00276	CDS	327				hypothetical protein
PGLLGMOK_00277	CDS	483				hypothetical protein
PGLLGMOK_00278	CDS	243				hypothetical protein
PGLLGMOK_00279	CDS	783				hypothetical protein
PGLLGMOK_00280	CDS	345				hypothetical protein
PGLLGMOK_00281	CDS	432				hypothetical protein
PGLLGMOK_00282	CDS	798	tfrA_2	1.3.4.1	COG1053	Fumarate reductase (CoM/CoB) subunit A
PGLLGMOK_00283	CDS	378	coxA2_1	1.9.3.1	COG0843	Cytochrome c oxidase polypeptide 1
PGLLGMOK_00284	CDS	555	ctaG_1			Cytochrome c oxidase assembly protein CtaG
PGLLGMOK_00285	CDS	879				hypothetical protein
PGLLGMOK_00286	CDS	234				hypothetical protein
PGLLGMOK_00287	CDS	213				hypothetical protein
PGLLGMOK_00288	CDS	792	eif2a		COG1093	Translation initiation factor 2 subunit alpha
PGLLGMOK_00289	CDS	171			COG2051	30S ribosomal protein S27e
PGLLGMOK_00290	CDS	285			COG1631	50S ribosomal protein L44e
PGLLGMOK_00291	CDS	225				hypothetical protein
PGLLGMOK_00292	CDS	795			COG1136	putative ABC transporter ATP-binding protein
PGLLGMOK_00293	CDS	615	ppk_1	2.7.4.1		Polyphosphate kinase
PGLLGMOK_00294	CDS	969	rpoD_1			RNA polymerase sigma factor RpoD
PGLLGMOK_00295	CDS	981				hypothetical protein
PGLLGMOK_00296	CDS	249				hypothetical protein
PGLLGMOK_00297	CDS	384	epd_1	1.2.1.72		D-erythrose-4-phosphate dehydrogenase
PGLLGMOK_00298	CDS	903				hypothetical protein
PGLLGMOK_00299	CDS	963				hypothetical protein
PGLLGMOK_00300	CDS	3114				hypothetical protein
PGLLGMOK_00301	CDS	654				hypothetical protein
PGLLGMOK_00302	CDS	381	erpA_1			Iron-sulfur cluster insertion protein ErpA
PGLLGMOK_00303	CDS	300				hypothetical protein
PGLLGMOK_00304	CDS	2565	gcvT_1	2.1.2.10		Aminomethyltransferase
PGLLGMOK_00305	CDS	162				hypothetical protein
PGLLGMOK_00306	CDS	918				hypothetical protein
PGLLGMOK_00307	CDS	300				hypothetical protein
PGLLGMOK_00308	CDS	186				hypothetical protein
PGLLGMOK_00309	CDS	789				hypothetical protein
PGLLGMOK_00310	CDS	405				hypothetical protein
PGLLGMOK_00311	CDS	357				hypothetical protein
PGLLGMOK_00312	CDS	924				hypothetical protein
PGLLGMOK_00313	CDS	414				hypothetical protein
PGLLGMOK_00314	CDS	714				hypothetical protein
PGLLGMOK_00315	rRNA	1221				16S ribosomal RNA (partial)
PGLLGMOK_00316	tRNA	78				tRNA-Ile(gat)
PGLLGMOK_00317	tRNA	76				tRNA-Ala(tgc)
PGLLGMOK_00318	CDS	327				hypothetical protein
PGLLGMOK_00319	CDS	252				hypothetical protein
PGLLGMOK_00320	CDS	231				hypothetical protein
PGLLGMOK_00321	CDS	699	mnmC_2	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
PGLLGMOK_00322	CDS	1122	gltA	2.3.3.16	COG0372	Citrate synthase
PGLLGMOK_00323	CDS	582	prpB	4.1.3.30		2-methylisocitrate lyase
PGLLGMOK_00324	CDS	1068				hypothetical protein
PGLLGMOK_00325	CDS	432	smpB_1			SsrA-binding protein
PGLLGMOK_00326	CDS	426				hypothetical protein
PGLLGMOK_00327	CDS	1755		3.4.21.-	COG1067	Archaeal Lon protease
PGLLGMOK_00328	CDS	567				hypothetical protein
PGLLGMOK_00329	CDS	582				hypothetical protein
PGLLGMOK_00330	CDS	1068	bchB_1	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
PGLLGMOK_00331	CDS	195				hypothetical protein
PGLLGMOK_00332	CDS	288				hypothetical protein
PGLLGMOK_00333	CDS	444				hypothetical protein
PGLLGMOK_00334	CDS	1935				hypothetical protein
PGLLGMOK_00335	CDS	4251				hypothetical protein
PGLLGMOK_00336	CDS	987				hypothetical protein
PGLLGMOK_00337	CDS	279				hypothetical protein
PGLLGMOK_00338	CDS	1572				hypothetical protein
PGLLGMOK_00339	CDS	375				hypothetical protein
PGLLGMOK_00340	CDS	330				hypothetical protein
PGLLGMOK_00341	CDS	1104				hypothetical protein
PGLLGMOK_00342	CDS	219				hypothetical protein
PGLLGMOK_00343	CDS	759				hypothetical protein
PGLLGMOK_00344	CDS	1059				hypothetical protein
PGLLGMOK_00345	CDS	969				hypothetical protein
PGLLGMOK_00346	CDS	342				hypothetical protein
PGLLGMOK_00347	CDS	108				hypothetical protein
PGLLGMOK_00348	CDS	1788				hypothetical protein
PGLLGMOK_00349	CDS	1830				hypothetical protein
PGLLGMOK_00350	CDS	585				hypothetical protein
PGLLGMOK_00351	CDS	420				hypothetical protein
PGLLGMOK_00352	CDS	1563				hypothetical protein
PGLLGMOK_00353	CDS	657				hypothetical protein
PGLLGMOK_00354	CDS	231				hypothetical protein
PGLLGMOK_00355	CDS	183				hypothetical protein
PGLLGMOK_00356	CDS	2556	gcvT_2	2.1.2.10		Aminomethyltransferase
PGLLGMOK_00357	CDS	900	xerA_1		COG0582	Tyrosine recombinase XerA
PGLLGMOK_00358	CDS	777				hypothetical protein
PGLLGMOK_00359	CDS	255				hypothetical protein
PGLLGMOK_00360	CDS	537				hypothetical protein
PGLLGMOK_00361	CDS	918	ilvE_1	2.6.1.42	COG0115	Putative branched-chain-amino-acid aminotransferase
PGLLGMOK_00362	CDS	942				hypothetical protein
PGLLGMOK_00363	CDS	594	msrA_1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
PGLLGMOK_00364	CDS	282				hypothetical protein
PGLLGMOK_00365	CDS	246				hypothetical protein
PGLLGMOK_00366	CDS	882				hypothetical protein
PGLLGMOK_00367	CDS	402				hypothetical protein
PGLLGMOK_00368	CDS	168				hypothetical protein
PGLLGMOK_00369	CDS	561				hypothetical protein
PGLLGMOK_00370	CDS	228	QRSL1_1	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial
PGLLGMOK_00371	CDS	696				hypothetical protein
PGLLGMOK_00372	CDS	636				hypothetical protein
PGLLGMOK_00373	CDS	567				hypothetical protein
PGLLGMOK_00374	CDS	312				hypothetical protein
PGLLGMOK_00375	CDS	423				hypothetical protein
PGLLGMOK_00376	CDS	795				hypothetical protein
PGLLGMOK_00377	CDS	270				hypothetical protein
PGLLGMOK_00378	CDS	297				hypothetical protein
PGLLGMOK_00379	CDS	789				hypothetical protein
PGLLGMOK_00380	CDS	234				hypothetical protein
PGLLGMOK_00381	CDS	879				hypothetical protein
PGLLGMOK_00382	CDS	327				hypothetical protein
PGLLGMOK_00383	CDS	732				hypothetical protein
PGLLGMOK_00384	CDS	318				hypothetical protein
PGLLGMOK_00385	CDS	435				hypothetical protein
PGLLGMOK_00386	CDS	1392				hypothetical protein
PGLLGMOK_00387	CDS	1173				hypothetical protein
PGLLGMOK_00388	CDS	198				hypothetical protein
PGLLGMOK_00389	CDS	279			COG0093	50S ribosomal protein L14
PGLLGMOK_00390	CDS	408			COG0198	50S ribosomal protein L24
PGLLGMOK_00391	CDS	699	rps4e_1		COG1471	30S ribosomal protein S4e
PGLLGMOK_00392	CDS	528	rpl5		COG0094	50S ribosomal protein L5
PGLLGMOK_00393	CDS	390	rps8_1		COG0096	30S ribosomal protein S8
PGLLGMOK_00394	CDS	390				hypothetical protein
PGLLGMOK_00395	CDS	540	pdxJ_1	2.6.99.2		Pyridoxine 5'-phosphate synthase
PGLLGMOK_00396	CDS	339				hypothetical protein
PGLLGMOK_00397	CDS	240				hypothetical protein
PGLLGMOK_00398	CDS	348				hypothetical protein
PGLLGMOK_00399	CDS	255				hypothetical protein
PGLLGMOK_00400	CDS	1518				hypothetical protein
PGLLGMOK_00401	CDS	846				hypothetical protein
PGLLGMOK_00402	CDS	951	htpX_1	3.4.24.-		Protease HtpX
PGLLGMOK_00403	CDS	1551	hmgB	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
PGLLGMOK_00404	CDS	729				hypothetical protein
PGLLGMOK_00405	CDS	870				hypothetical protein
PGLLGMOK_00406	CDS	1098				hypothetical protein
PGLLGMOK_00407	CDS	963				hypothetical protein
PGLLGMOK_00408	CDS	861				hypothetical protein
PGLLGMOK_00409	CDS	1038	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
PGLLGMOK_00410	CDS	282	sudA_1	1.8.1.19	COG0493	Sulfide dehydrogenase subunit alpha
PGLLGMOK_00411	CDS	324				hypothetical protein
PGLLGMOK_00412	CDS	267				hypothetical protein
PGLLGMOK_00413	CDS	228				hypothetical protein
PGLLGMOK_00414	CDS	420				hypothetical protein
PGLLGMOK_00415	CDS	801				hypothetical protein
PGLLGMOK_00416	CDS	987	kae1_1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
PGLLGMOK_00417	CDS	867	pafA	6.3.1.19		Pup--protein ligase
PGLLGMOK_00418	rRNA	2612				23S ribosomal RNA
PGLLGMOK_00419	CDS	1443				hypothetical protein
PGLLGMOK_00420	CDS	630				hypothetical protein
PGLLGMOK_00421	CDS	309				hypothetical protein
PGLLGMOK_00422	CDS	774	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
PGLLGMOK_00423	CDS	687				hypothetical protein
