#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
k105_38066_37        -            147 Ribosom_S12_S23      PF00164.20   122   1.6e-36  119.2   0.7   1   1   5.5e-39     2e-36  118.9   0.7     8   121    28   144     9   145 0.93 # 39078 # 39518 # 1 # ID=9_37;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
k105_117003_19       -           1229 RNA_pol_Rpb2_1       PF04563.10   203   6.4e-40  131.0   0.0   2   2   2.3e-22   8.7e-20   65.2   0.0   122   203   178   445   167   445 0.99 # 19067 # 22753 # -1 # ID=6_19;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.528
k105_117003_19       -           1229 RNA_pol_Rpb2_3       PF04565.11    68     2e-26   86.3   0.0   1   1   1.2e-28   4.5e-26   85.2   0.0     1    67   456   520   456   521 0.97 # 19067 # 22753 # -1 # ID=6_19;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.528
k105_117003_18       -           1033 RNA_pol_Rpb1_1       PF04997.7    337   1.6e-91  301.7   0.4   1   1   5.7e-94   2.1e-91  301.4   0.4     2   337    11   337    10   337 0.88 # 15972 # 19070 # -1 # ID=6_18;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.516
k105_117003_18       -           1033 RNA_pol_Rpb1_4       PF05000.12   108   6.9e-24   78.5   0.0   1   1   4.9e-26   1.8e-23   77.1   0.0     8   108   832   932   827   932 0.95 # 15972 # 19070 # -1 # ID=6_18;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.516
k105_132785_39       -            961 TIGR00344            TIGR00344    847  2.9e-173  572.6   0.0   1   1  3.4e-174  6.3e-172  568.2   0.0     2   847    75   941    74   941 0.91 # 43943 # 46825 # -1 # ID=10_39;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.571
k105_38066_68        -            254 TIGR00344            TIGR00344    847   1.8e-25   83.7   0.0   1   1   1.3e-27   2.3e-25   83.3   0.0   472   689    24   245    19   249 0.86 # 71273 # 72034 # 1 # ID=9_68;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.432
k105_38066_60        -            713 TIGR00422            TIGR00422    863   1.6e-19   63.8   1.2   1   3   7.2e-09   1.3e-06   21.0   0.0    37    93     6    63     2   136 0.81 # 61460 # 63598 # 1 # ID=9_60;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.450
k105_38066_60        -            713 TIGR00422            TIGR00422    863   1.6e-19   63.8   1.2   2   3     0.014       2.7    0.2   0.5   355   415   201   260   192   277 0.81 # 61460 # 63598 # 1 # ID=9_60;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.450
k105_38066_60        -            713 TIGR00422            TIGR00422    863   1.6e-19   63.8   1.2   3   3   2.1e-14   3.9e-12   39.3   0.0   523   712   364   564   339   665 0.79 # 61460 # 63598 # 1 # ID=9_60;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.450
k105_132785_83       -            576 TIGR00422            TIGR00422    863     0.001   11.5   0.0   1   2     3e-05    0.0057    9.0   0.0    33    76   114   157    96   190 0.82 # 111604 # 113331 # -1 # ID=10_83;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
k105_132785_83       -            576 TIGR00422            TIGR00422    863     0.001   11.5   0.0   2   2     0.018       3.3   -0.1   0.0   315   345   261   291   238   305 0.81 # 111604 # 113331 # -1 # ID=10_83;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
#
# Program:         hmmsearch
# Version:         3.3.1 (Jul 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/6167459/1196b186-63d6-4a29-bbbc-f726a3ada187
# Target file:     /home/tola2495/GenomeAnalysisVT2022/analyses/03_binning/02_checkm/220426_checkm_RR4342129/bins/bin_18/genes.faa
# Option settings: hmmsearch --domtblout /home/tola2495/GenomeAnalysisVT2022/analyses/03_binning/02_checkm/220426_checkm_RR4342129/bins/bin_18/hmmer.tree.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 1 /scratch/6167459/1196b186-63d6-4a29-bbbc-f726a3ada187 /home/tola2495/GenomeAnalysisVT2022/analyses/03_binning/02_checkm/220426_checkm_RR4342129/bins/bin_18/genes.faa 
# Current dir:     /home/tola2495/GenomeAnalysisVT2022/code/03_binning
# Date:            Wed Apr 27 13:46:53 2022
# [ok]
